Day,Price,Temperature,Precipitation,SnowDepth,SunshineHours,Month,DayOfWeek,Season,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_4,Price_lag_5,Price_lag_6,Price_lag_7,Price_MA7,Temp_MA7
2016-03-13,21.88291666666667,1.3835820895522388,0.049999999999999996,0.07473684210526316,108.40925925925927,3,6,2,23.100416666666664,26.802083333333332,23.8275,22.866666666666664,25.62125,23.48875,19.790833333333335,23.941369047619045,0.6121535181236675
2016-03-14,22.668333333333333,4.226865671641791,0.10208333333333335,0.06290322580645162,116.95185185185187,3,0,2,21.88291666666667,23.100416666666664,26.802083333333332,23.8275,22.866666666666664,25.62125,23.48875,23.824166666666667,1.1070362473347548
2016-03-15,22.465833333333332,5.150746268656717,0.013541666666666667,0.04676923076923077,370.57592592592596,3,1,2,22.668333333333333,21.88291666666667,23.100416666666664,26.802083333333332,23.8275,22.866666666666664,25.62125,23.373392857142857,1.708315565031983
2016-03-16,21.86208333333333,4.097014925373134,0.0062499999999999995,0.028253968253968254,557.5851851851852,3,2,2,22.465833333333332,22.668333333333333,21.88291666666667,23.100416666666664,26.802083333333332,23.8275,22.866666666666664,23.22988095238095,2.164179104477612
2016-03-17,22.168333333333333,4.159090909090909,0.03854166666666667,0.02145161290322581,410.7851851851852,3,3,2,21.86208333333333,22.465833333333332,22.668333333333333,21.88291666666667,23.100416666666664,26.802083333333332,23.8275,22.99285714285714,2.703324287652646
2016-03-18,21.75125,2.1075757575757574,0.008333333333333333,0.014838709677419355,393.47962962962964,3,4,2,22.168333333333333,21.86208333333333,22.465833333333332,22.668333333333333,21.88291666666667,23.100416666666664,26.802083333333332,22.27130952380952,2.9950248756218905
2016-03-19,21.457916666666666,2.678787878787879,0.284375,0.012258064516129033,300.5388888888889,3,5,2,21.75125,22.168333333333333,21.86208333333333,22.465833333333332,22.668333333333333,21.88291666666667,23.100416666666664,22.036666666666665,3.400523357239775
2016-03-20,20.382916666666667,3.278787878787879,0.6218750000000001,0.009661016949152541,311.337037037037,3,6,2,21.457916666666666,21.75125,22.168333333333333,21.86208333333333,22.465833333333332,22.668333333333333,21.88291666666667,21.82238095238095,3.671267041416295
2016-03-21,21.46083333333333,2.378787878787879,0.4916666666666667,0.00671875,290.5907407407407,3,0,2,20.382916666666667,21.457916666666666,21.75125,22.168333333333333,21.86208333333333,22.465833333333332,22.668333333333333,21.64988095238095,3.407255928151451
2016-03-22,22.120833333333334,1.9227272727272728,2.080208333333333,0.009047619047619047,157.87962962962962,3,1,2,21.46083333333333,20.382916666666667,21.457916666666666,21.75125,22.168333333333333,21.86208333333333,22.465833333333332,21.600595238095234,2.9461103573043874
2016-03-23,21.590833333333336,2.21044776119403,0.23020833333333332,0.01111111111111111,238.7296296296296,3,2,2,22.120833333333334,21.46083333333333,20.382916666666667,21.457916666666666,21.75125,22.168333333333333,21.86208333333333,21.561845238095238,2.676600762421658
2016-03-24,21.169166666666666,1.737313432835821,0.6572916666666667,0.005079365079365079,348.60370370370373,3,3,2,21.590833333333336,22.120833333333334,21.46083333333333,20.382916666666667,21.457916666666666,21.75125,22.168333333333333,21.419107142857143,2.330632551528074
2016-03-25,20.515416666666667,3.8507462686567164,1.6229166666666668,0.004576271186440679,35.379629629629626,3,4,2,21.169166666666666,21.590833333333336,22.120833333333334,21.46083333333333,20.382916666666667,21.457916666666666,21.75125,21.242559523809526,2.579656910253925
2016-03-26,19.535416666666666,4.661194029850747,0.0062499999999999995,0.004464285714285714,418.94814814814816,3,5,2,20.515416666666667,21.169166666666666,21.590833333333336,22.120833333333334,21.46083333333333,20.382916666666667,21.457916666666666,20.967916666666667,2.862857788977192
2016-03-27,16.69608695652174,5.858208955223881,1.3531250000000001,0.0036206896551724136,396.70000000000005,3,6,2,19.535416666666666,20.515416666666667,21.169166666666666,21.590833333333336,22.120833333333334,21.46083333333333,20.382916666666667,20.441226708074534,3.231346514182335
2016-03-28,17.025833333333335,6.485074626865671,0.6281249999999999,0.0029508196721311475,484.5833333333333,3,0,2,16.69608695652174,19.535416666666666,20.515416666666667,21.169166666666666,21.590833333333336,22.120833333333334,21.46083333333333,19.807655279503106,3.8179589067648765
2016-03-29,19.66375,5.794029850746268,0.9104166666666668,0.001791044776119403,229.0296296296296,3,1,2,17.025833333333335,16.69608695652174,19.535416666666666,20.515416666666667,21.169166666666666,21.590833333333336,22.120833333333334,19.456643374741198,4.371002132196162
2016-03-30,21.40416666666667,4.583582089552239,0.5499999999999999,0.0013846153846153845,352.9,3,2,2,19.66375,17.025833333333335,16.69608695652174,19.535416666666666,20.515416666666667,21.169166666666666,21.590833333333336,19.42997670807453,4.71002132196162
2016-03-31,21.860416666666666,3.7522388059701495,1.8187499999999999,0.0005970149253731343,282.17962962962963,3,3,2,21.40416666666667,19.66375,17.025833333333335,16.69608695652174,19.535416666666666,20.515416666666667,21.169166666666666,19.528726708074537,4.997867803837953
2016-04-01,22.278333333333332,3.3298507462686566,0.08541666666666668,0.0011666666666666668,556.6962962962963,4,4,2,21.860416666666666,21.40416666666667,19.66375,17.025833333333335,16.69608695652174,19.535416666666666,20.515416666666667,19.780571946169772,4.923454157782516
2016-04-02,20.5425,4.502985074626865,0.4291666666666667,0.0,119.16111111111111,4,5,2,22.278333333333332,21.860416666666666,21.40416666666667,19.66375,17.025833333333335,16.69608695652174,19.535416666666666,19.924440993788817,4.900852878464819
2016-04-03,19.775,6.42089552238806,0.68125,0.0,78.77037037037037,4,6,2,20.5425,22.278333333333332,21.860416666666666,21.40416666666667,19.66375,17.025833333333335,16.69608695652174,20.364285714285717,4.981236673773987
2016-04-04,22.841250000000002,6.543283582089552,1.7989583333333332,0.0,98.01851851851853,4,0,2,19.775,20.5425,22.278333333333332,21.860416666666666,21.40416666666667,19.66375,17.025833333333335,21.195059523809523,4.98955223880597
2016-04-05,24.939166666666665,6.714925373134328,9.40625,0.0,230.95555555555555,4,1,2,22.841250000000002,19.775,20.5425,22.278333333333332,21.860416666666666,21.40416666666667,19.66375,21.948690476190475,5.121108742004265
2016-04-06,21.02875,5.9358208955223875,6.623958333333333,0.0,54.88333333333333,4,2,2,24.939166666666665,22.841250000000002,19.775,20.5425,22.278333333333332,21.860416666666666,21.40416666666667,21.895059523809522,5.314285714285715
2016-04-07,20.17,5.5,5.09375,0.0,261.43703703703704,4,3,2,21.02875,24.939166666666665,22.841250000000002,19.775,20.5425,22.278333333333332,21.860416666666666,21.65357142857143,5.563965884861408
2016-04-08,21.637083333333333,5.204477611940298,1.009375,0.0,280.94259259259263,4,4,2,20.17,21.02875,24.939166666666665,22.841250000000002,19.775,20.5425,22.278333333333332,21.561964285714286,5.831769722814499
2016-04-09,21.487916666666667,4.885074626865672,0.28020833333333334,0.0,405.53333333333336,4,5,2,21.637083333333333,20.17,21.02875,24.939166666666665,22.841250000000002,19.775,20.5425,21.69702380952381,5.8863539445629
2016-04-10,20.512916666666666,4.722727272727273,0.0,0.0,635.4425925925926,4,6,2,21.487916666666667,21.637083333333333,20.17,21.02875,24.939166666666665,22.841250000000002,19.775,21.802440476190476,5.643758480325644
2016-04-11,22.46083333333333,6.074242424242424,0.0062499999999999995,0.0,641.6444444444445,4,0,2,20.512916666666666,21.487916666666667,21.637083333333333,20.17,21.02875,24.939166666666665,22.841250000000002,21.748095238095235,5.576752600633197
2016-04-12,22.16,6.116666666666666,0.0,0.0,803.1592592592592,4,1,2,22.46083333333333,20.512916666666666,21.487916666666667,21.637083333333333,20.17,21.02875,24.939166666666665,21.351071428571426,5.491287071137817
2016-04-13,24.42375,5.995454545454545,0.08541666666666665,0.0,526.5814814814815,4,2,2,22.16,22.46083333333333,20.512916666666666,21.487916666666667,21.637083333333333,20.17,21.02875,21.836071428571426,5.4998061639852684
2016-04-14,24.952083333333334,4.663636363636364,0.2020833333333333,0.0006349206349206349,405.512962962963,4,3,2,24.42375,22.16,22.46083333333333,20.512916666666666,21.487916666666667,21.637083333333333,20.17,22.519226190476193,5.380325644504749
2016-04-15,22.320833333333336,5.690909090909091,3.084375,0.0,319.05555555555554,4,4,2,24.952083333333334,24.42375,22.16,22.46083333333333,20.512916666666666,21.487916666666667,21.637083333333333,22.61690476190476,5.449815855786005
2016-04-16,20.655416666666667,6.28030303030303,3.560416666666667,0.0,141.4611111111111,4,5,2,22.320833333333336,24.952083333333334,24.42375,22.16,22.46083333333333,20.512916666666666,21.487916666666667,22.49797619047619,5.6491341991342
2016-04-17,18.507083333333334,5.692424242424242,2.5656250000000003,0.0,234.06666666666666,4,6,2,20.655416666666667,22.320833333333336,24.952083333333334,24.42375,22.16,22.46083333333333,20.512916666666666,22.21142857142857,5.787662337662338
2016-04-18,20.67625,6.209090909090909,1.54375,0.0,351.3833333333333,4,0,2,18.507083333333334,20.655416666666667,22.320833333333336,24.952083333333334,24.42375,22.16,22.46083333333333,21.956488095238097,5.806926406926407
2016-04-19,19.79125,6.125757575757576,0.7427083333333333,0.0,493.4481481481482,4,1,2,20.67625,18.507083333333334,20.655416666666667,22.320833333333336,24.952083333333334,24.42375,22.16,21.618095238095236,5.808225108225108
2016-04-20,21.415000000000003,6.45,0.0020833333333333333,0.0,779.2,4,2,2,19.79125,20.67625,18.507083333333334,20.655416666666667,22.320833333333336,24.952083333333334,24.42375,21.188273809523814,5.873160173160173
2016-04-21,21.41875,6.49090909090909,2.9145833333333333,0.0,571.4518518518519,4,3,2,21.415000000000003,19.79125,20.67625,18.507083333333334,20.655416666666667,22.320833333333336,24.952083333333334,20.683511904761904,6.134199134199134
2016-04-22,21.44333333333333,5.3999999999999995,0.19166666666666665,0.0,630.6129629629629,4,4,2,21.41875,21.415000000000003,19.79125,20.67625,18.507083333333334,20.655416666666667,22.320833333333336,20.558154761904763,6.092640692640693
2016-04-23,21.750416666666666,3.0939393939393938,1.278125,0.0,625.6074074074074,4,5,2,21.44333333333333,21.41875,21.415000000000003,19.79125,20.67625,18.507083333333334,20.655416666666667,20.714583333333334,5.637445887445887
2016-04-24,21.382500000000004,2.460606060606061,0.928125,0.0018181818181818182,426.4462962962963,4,6,2,21.750416666666666,21.44333333333333,21.41875,21.415000000000003,19.79125,20.67625,18.507083333333334,21.125357142857144,5.175757575757575
2016-04-25,24.383333333333336,2.353030303030303,0.7697916666666668,0.0,493.7944444444444,4,0,2,21.382500000000004,21.750416666666666,21.44333333333333,21.41875,21.415000000000003,19.79125,20.67625,21.65494047619048,4.624891774891775
2016-04-26,24.08125,3.9303030303030297,0.11041666666666666,0.0003225806451612903,481.88333333333344,4,1,2,24.383333333333336,21.382500000000004,21.750416666666666,21.44333333333333,21.41875,21.415000000000003,19.79125,22.26779761904762,4.311255411255411
2016-04-27,24.093333333333334,3.4893939393939397,0.671875,0.0,244.57407407407405,4,2,2,24.08125,24.383333333333336,21.382500000000004,21.750416666666666,21.44333333333333,21.41875,21.415000000000003,22.65041666666667,3.8883116883116884
2016-04-28,25.69,3.890909090909091,8.139583333333333,0.0,95.33703703703704,4,3,2,24.093333333333334,24.08125,24.383333333333336,21.382500000000004,21.750416666666666,21.44333333333333,21.41875,23.260595238095238,3.516883116883117
2016-04-29,22.49291666666667,6.266666666666667,1.0229166666666667,0.0003333333333333333,473.3981481481481,4,4,2,25.69,24.093333333333334,24.08125,24.383333333333336,21.382500000000004,21.750416666666666,21.44333333333333,23.410535714285714,3.6406926406926408
